date,equity,cash,positions
2025-08-05,127578.62,0.0,5
2025-08-06,129362.6,3216.87,5
2025-08-07,129248.31,25599.38,4
2025-08-08,131560.72,52335.79,3
2025-08-11,132270.11,53447.42,3
2025-08-12,132996.36,79421.44,2
2025-08-13,135070.53,26222.9,4
2025-08-14,133528.09,0.0,5
2025-08-15,135939.16,0.0,5
2025-08-18,140014.26,1522.7,5
2025-08-19,139313.1,57143.35,3
2025-08-20,140240.63,54153.56,3
2025-08-21,138682.11,55766.27,3
2025-08-22,139106.12,27014.44,4
2025-08-25,141274.96,446.02,5
2025-08-26,141571.26,446.02,5
2025-08-27,140796.96,58751.96,3
2025-08-28,146097.7,58977.9,3
2025-08-29,148028.35,538.82,5
2025-09-01,147253.7,1769.13,5
2025-09-02,141777.85,27352.1,4
2025-09-03,140782.59,26919.84,4
2025-09-04,133803.27,81766.4,2
2025-09-05,133922.11,79991.88,2
2025-09-08,139087.72,26423.04,4
2025-09-09,135394.18,-0.0,5
2025-09-10,134519.77,-0.0,5
2025-09-11,139145.24,726.21,5
2025-09-12,138967.26,27888.4,4
2025-09-15,138630.89,94.95,5
2025-09-16,142744.63,602.29,5
2025-09-17,141165.97,0.0,5
2025-09-18,144474.4,28031.03,4
2025-09-19,145235.33,28873.47,4
2025-09-22,148155.74,28851.13,4
2025-09-23,147823.47,30487.17,4
2025-09-24,149991.06,922.48,5
2025-09-25,153287.44,537.57,5
2025-09-26,150212.04,923.7,5
2025-09-29,157563.34,31618.21,4
2025-09-30,159761.91,2632.66,5
2025-10-09,157980.09,64461.67,3
2025-10-10,152537.86,32000.25,4
2025-10-13,154162.58,55506.32,3
2025-10-14,155517.33,61039.6,3
2025-10-15,153933.79,123326.63,1
2025-10-16,152805.03,61753.12,3
2025-10-17,148680.87,60373.3,3
2025-10-20,149768.52,59029.55,3
2025-10-21,153650.3,0.0,5
2025-10-22,146942.71,-0.0,5
2025-10-23,148568.67,0.0,5
2025-10-24,149110.92,-0.0,5
2025-10-27,153962.23,34374.26,4
2025-10-28,162746.68,65534.6,3
2025-10-29,168119.92,66414.96,3
2025-10-30,169900.2,70315.8,3
2025-10-31,165808.74,66212.9,3
2025-11-03,169227.95,31926.41,4
2025-11-04,169851.53,0.0,5
2025-11-05,172891.14,445.32,5
2025-11-06,185324.67,3212.68,5
2025-11-07,190272.13,41129.08,4
2025-11-10,191472.54,78244.28,3
2025-11-11,192112.68,81288.32,3
2025-11-12,194951.18,75349.48,3
2025-11-13,202811.75,39267.54,4
2025-11-14,190856.48,0.0,5
2025-11-17,180720.14,70565.19,3
2025-11-18,174989.8,106249.46,2
2025-11-19,174189.14,140255.92,1
2025-11-20,172814.78,70580.26,3
2025-11-21,169452.76,136299.67,1
2025-11-24,169091.75,169091.75,0
2025-11-25,169091.75,169091.75,0
2025-11-26,169091.75,169091.75,0
2025-11-27,169091.75,169091.75,0
2025-11-28,169091.75,169091.75,0
2025-12-01,169091.75,169091.75,0
2025-12-02,169091.75,169091.75,0
2025-12-03,169091.75,169091.75,0
2025-12-04,169091.75,169091.75,0
2025-12-05,169091.75,169091.75,0
2025-12-08,169091.75,169091.75,0
2025-12-09,168573.13,101455.05,2
2025-12-10,168838.41,101455.05,2
2025-12-11,167426.4,133636.72,1
2025-12-12,167036.09,133636.72,1
2025-12-15,167677.79,167677.79,0
2025-12-16,167677.79,167677.79,0
2025-12-17,167677.79,167677.79,0
2025-12-18,167677.79,167677.79,0
2025-12-19,167677.79,167677.79,0
2025-12-22,167677.79,167677.79,0
2025-12-23,166632.36,100606.68,2
2025-12-24,169002.66,65876.36,3
2025-12-25,169291.42,35123.97,4
2025-12-26,172564.47,1265.68,5
2025-12-29,169072.4,51.93,5
2025-12-30,167537.11,32459.38,4
2025-12-31,165364.43,-0.0,5
2026-01-05,170913.19,1062.54,5
2026-01-06,174805.74,37216.83,4
2026-01-07,179578.0,71894.48,3
2026-01-08,178761.9,63.28,5
2026-01-09,183537.45,1282.74,5
2026-01-12,182596.87,0.0,5
2026-01-13,185782.04,1628.66,5
2026-01-14,193500.73,4554.98,5
2026-01-15,198499.11,5661.62,5
2026-01-16,197295.51,40171.48,4
2026-01-19,206623.51,712.37,5
2026-01-20,210029.01,43778.49,4
2026-01-21,213157.14,0.0,5
2026-01-22,213955.31,0.0,5
2026-01-23,215181.97,858.25,5
2026-01-26,213472.26,85755.45,3
2026-01-27,217497.68,85741.31,3
2026-01-28,220672.43,0.0,5
2026-01-29,213691.02,0.0,5
2026-01-30,218426.3,43947.4,4
2026-02-02,206688.8,41643.21,4
2026-02-03,211879.12,124281.85,2
2026-02-04,216572.96,39530.21,4
2026-02-05,215130.22,129303.18,2
2026-02-06,216256.53,43251.1,4
2026-02-09,218115.55,43251.1,4
2026-02-10,221087.41,0.0,5
2026-02-11,225887.38,46968.78,4
2026-02-12,231406.96,828.42,5
2026-02-13,226248.69,4070.24,5
2026-02-24,225944.28,45255.56,4
2026-02-25,223809.49,135498.34,2
2026-02-26,224921.19,177530.46,1
2026-02-27,228145.32,135770.5,2
2026-03-02,237272.36,93605.73,3
2026-03-03,226108.2,45372.76,4
2026-03-04,221720.2,130847.38,2
2026-03-05,222391.77,130847.38,2
2026-03-06,223241.59,223241.59,0
2026-03-09,223241.59,223241.59,0
2026-03-10,223241.59,223241.59,0
2026-03-11,223241.59,223241.59,0
2026-03-12,222539.8,133944.96,2
2026-03-13,220849.1,133944.96,2
2026-03-16,218749.42,218749.42,0
2026-03-17,218749.42,218749.42,0
2026-03-18,218749.42,218749.42,0
2026-03-19,218749.42,218749.42,0
2026-03-20,218749.42,218749.42,0
2026-03-23,218749.42,218749.42,0
2026-03-24,218749.42,218749.42,0
2026-03-25,218749.42,218749.42,0
2026-03-26,218749.42,218749.42,0
2026-03-27,218749.42,218749.42,0
2026-03-30,218749.42,218749.42,0
2026-03-31,218749.42,218749.42,0
2026-04-01,218749.42,218749.42,0
2026-04-02,218749.42,218749.42,0
2026-04-03,218749.42,218749.42,0
2026-04-07,218749.42,218749.42,0
2026-04-08,218749.42,218749.42,0
2026-04-09,218749.42,218749.42,0
2026-04-10,218749.42,218749.42,0
2026-04-13,220152.77,131249.65,2
2026-04-14,219852.78,43188.54,4
2026-04-15,215949.52,0.0,5
2026-04-16,214641.93,0.0,5
2026-04-17,218813.46,0.0,5
2026-04-20,219787.29,86940.09,3
